UPKB	ARO Accession	CARD Short Name	RM ARO Accession	Resistance Mechanism	CARD URL
Q938A8	ARO:3002403	OXY-2-8	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002403
A0A0C5KH21	ARO:3003179	VIM-43	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003179
Q56187	ARO:3000423	FomA	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000423
C8ZLL4	ARO:3002341	GES-12	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002341
C8C0Q2	ARO:3002117	CMY-105	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002117
Q8RPU6	ARO:3002600	AAC_3Ib_AAC_6Ib	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002600
Q8VP57	ARO:3001093	SHV-35	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001093
N0D6W6	ARO:3001383	TEM-206	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001383
A0A0N9FI59	ARO:3001416	OXA-21	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001416
D2KYV7	ARO:3001168	SHV-121	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001168
A0AAN1Y4Z8	ARO:3002429	OKP-A-12	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002429
Q9LAC0	ARO:3000959	TEM-92	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000959
V5MYA6	ARO:3002112	CMY-100	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002112
A0A7R7G250	ARO:3002332	GES-3	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002332
Q84B25	ARO:3002168	MIR-2	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002168
C3VMM9	ARO:3001948	CTX-M-88	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001948
A8STK0	ARO:3001644	OXA-113	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001644
Q2YHY5	ARO:3002436	OKP-B-3	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002436
A0A3Z2FBL0	ARO:3000826	sdiA	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000826
A0A0A1EG05	ARO:3003160	OXA-422	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003160
D7RPF2	ARO:3001472	OXA-178	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001472
Q845L6	ARO:3003094	imiH	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003094
B5D615	ARO:3002468	LEN-21	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002468
V9ZCP8	ARO:3002797	QnrS8	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002797
A0A4Y5ZNJ1	ARO:3001784	OXA-181	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001784
A0AAW8Z3J4	ARO:3001840	ACT-19	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001840
F8SQ10	ARO:3001181	SHV-137	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001181
Q2PQA7	ARO:3001623	OXA-83	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001623
A0A097J9F9	ARO:3001850	ACT-30	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001850
J7HZA9	ARO:3001191	SHV-152	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001191
S6CQJ5	ARO:3001347	SHV-164	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001347
A0A427DJS6	ARO:3002695	cmlA5	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3002695
H7CHS5	ARO:3001985	CTX-M-126	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001985
A5HJU3	ARO:3001024	TEM-158	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001024
Q2YHX8	ARO:3002442	OKP-B-9	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002442
A0A0K2B0L6	ARO:3004605	ermZ	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3004605
O06916	ARO:3002662	APH(9)-Ia	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002662
D0ELI0	ARO:3001455	OXA-150	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001455
Q45FD4	ARO:3002032	CMY-21	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002032
Q8VKZ1	ARO:3003172	ACT-37	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003172
F8KB04	ARO:3001486	OXA-208	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001486
A0A3R7IWB8	ARO:3000592	ErmN	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3000592
R4HFT3	ARO:3002078	CMY-65	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002078
Q3V4E4	ARO:3002856	dfrA24	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3002856
A0A1M7HJQ7	ARO:3003206	lsaE	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3003206
D5LIR5	ARO:3001175	SHV-128	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001175
A9QW06	ARO:3002727	QnrB13	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002727
Q8KKG2	ARO:3001770	OXA-43	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001770
C8C0D8	ARO:3003097	CfxA6	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003097
Q5H738	ARO:3002019	CMY-8	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002019
B5D614	ARO:3002467	LEN-20	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002467
G1FE77	ARO:3002751	QnrB36	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002751
C1KGB9	ARO:3002376	VEB-7	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002376
D7RPE8	ARO:3001658	OXA-174	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001658
Q2YHY6	ARO:3002435	OKP-B-2	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002435
Q9FAA2	ARO:3000958	TEM-91	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000958
O31272	ARO:3003095	imiS	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003095
G3EPW0	ARO:3001967	CTX-M-107	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001967
Q9K5K0	ARO:3001874	CTX-M-11	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001874
V5XKK3	ARO:3002071	CMY-110	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002071
M1F7E6	ARO:3001984	CTX-M-125	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001984
W8QQ94	ARO:3002098	CMY-85	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002098
A0A6N7NTA1	ARO:3003055	smeD	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3003055
A0A0E3UVG0	ARO:3000883	TEM-11	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000883
J7HZC1	ARO:3001201	SHV-162	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001201
Q8GHI3	ARO:3000934	TEM-67	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000934
G3F7G8	ARO:3002073	CMY-60	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002073
A0AAC9A072	ARO:3001780	OXA-85	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001780
Q79D67	ARO:3002641	APH(3')-Ia	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002641
O32372	ARO:3000888	TEM-17	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000888
A0A0C5C5N2	ARO:3001350	SHV-180	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001350
A0AB35J902	ARO:3003005	CfxA4	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003005
C0LZL5	ARO:3001804	OXA-145	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001804
M4T989	ARO:3002111	CMY-98	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002111
L7UV13	ARO:3002108	CMY-95	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002108
Q9EYX1	ARO:3001384	TEM-207	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001384
A0A951R288	ARO:3000593	ErmQ	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3000593
E0A2V6	ARO:3002267	IND-11	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002267
Q5SFA3	ARO:3001302	chrB	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3001302
Q939H5	ARO:3001090	SHV-32	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001090
A0A8E5UBI6	ARO:3001960	CTX-M-101	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001960
A0A097J9G3	ARO:3002129	CMY-118	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002129
A0A658NUQ1	ARO:3002046	CMY-35	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002046
A0ZX87	ARO:3001132	SHV-78	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001132
Q9ETN2	ARO:3002257	IND-2	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002257
E2IGU9	ARO:3001467	OXA-167	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001467
D0UHC8	ARO:3001654	OXA-143	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001654
A0A4Q8PGU5	ARO:3001041	TEM-176	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001041
Q9F0D2	ARO:3002133	DHA-2	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002133
A0A9Q8FL40	ARO:3001898	CTX-M-36	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001898
A8DZJ3	ARO:3001015	TEM-148	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001015
U5Y1P1	ARO:3001545	OXA-358	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001545
A0A0C5CHB2	ARO:3001553	OXA-366	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001553
Q5KT52	ARO:3001897	CTX-M-35	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001897
Q0ZKF0	ARO:3002609	aadA9	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002609
R4Y3I3	ARO:3002767	QnrB54	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002767
B5D617	ARO:3002470	LEN-23	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002470
Q9I0Y7	ARO:3000805	OprN	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000805
Q52751	ARO:3002701	Rfas_cmr	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3002701
G5DE28	ARO:3001493	OXA-225	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001493
F2YBS7	ARO:3002346	GES-17	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002346
A5FE61	ARO:3000840	JOHN-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000840
M9M4I7	ARO:3002925	vanR_in_vanF_cl	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3002925
Q44260	ARO:3003553	CepS	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003553
Q9K578	ARO:3000606	FEZ-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000606
A0A077JMT3	ARO:3003167	CTX-M-159	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003167
A0A6M4NPK1	ARO:3002217	IMP-26	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002217
B6E296	ARO:3001032	TEM-166	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001032
A0A0Z8ILU3	ARO:3003069	vanXY_in_vanG	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3003069
Q9ZNG9	ARO:3003034	mexX	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3003034
A0AAW3CI60	ARO:3003811	adeC	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3003811
A0A2J4Z656	ARO:3002390	OXY-1-2	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002390
A0A2Z4BV56	ARO:3004866	NDM-23	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3004866
I3V678	ARO:3002062	CMY-51	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002062
Q9RBZ0	ARO:3003067	smeS	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3003067
A0T065	ARO:3001425	OXA-31	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001425
A0A0A1ISX2	ARO:3003155	SHV-188	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003155
C6GJP9	ARO:3002738	QnrB23	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002738
Q8GNS6	ARO:3002409	OXY-3-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002409
A9LN35	ARO:3002910	vanL	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3002910
A0A3S4MWA6	ARO:3002502	PDC-5	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002502
D2Y3B7	ARO:3002715	QnrB2	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002715
D7RYR7	ARO:3002739	QnrB24	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002739
Q54385	ARO:3001305	ErmU	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3001305
M1JB36	ARO:3002308	VIM-38	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002308
G8I093	ARO:3002757	QnrB42	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002757
Q6PP91	ARO:3000975	TEM-112	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000975
N9NCN8	ARO:3001681	OXA-278	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001681
A0A077KT80	ARO:3002008	CTX-M-151	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002008
A6XFB8	ARO:3001021	TEM-155	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001021
A0AAE7LMA8	ARO:3002096	CMY-83	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002096
Q6W7J4	ARO:3000984	TEM-122	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000984
J3S801	ARO:3002252	CARB-14	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002252
Q9Z4Q6	ARO:3001074	SHV-15	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001074
D6RVW4	ARO:3003046	qacA	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3003046
A0AAU9BMG0	ARO:3002169	MIR-3	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002169
Q4KRH2	ARO:3002837	lnuC	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002837
A0A0C5BXY6	ARO:3001391	TEM-214	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001391
D0ELH8	ARO:3001453	OXA-148	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001453
V5N077	ARO:3002005	CTX-M-147	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002005
A0A443VXL6	ARO:3002790	QnrS1	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002790
M5A7R2	ARO:3002774	QnrB61	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002774
A0AB37I2G0	ARO:3002637	APH(2'')-IVa	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002637
Q8GRH0	ARO:3001797	OXA-46	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001797
R4NKM8	ARO:3002783	QnrB71	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002783
F6KV46	ARO:3002794	QnrS5	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002794
B3FYG7	ARO:3001651	OXA-130	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001651
A0A385AH63	ARO:3000413	sul3	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3000413
U5Y3Y7	ARO:3001544	OXA-357	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001544
Q93GI3	ARO:3000937	TEM-71	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000937
A0A837LFL2	ARO:3002181	MIR-16	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002181
X2EXI0	ARO:3001843	ACT-22	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001843
G3M3N1	ARO:3001489	OXA-217	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001489
E9NWK2	ARO:3001667	OXA-202	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001667
A0A097J9F4	ARO:3001818	ACC-4	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001818
U3PZ18	ARO:3001539	OXA-352	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001539
W8P9G3	ARO:3001566	OXA-380	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001566
A7L3K4	ARO:3002725	QnrB11	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002725
C8CMH8	ARO:3001442	OXA-117	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001442
D0QX42	ARO:3002480	OXA-144	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002480
W8PKW1	ARO:3001563	OXA-377	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001563
D9Z4Z4	ARO:3000903	TEM-33	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000903
A0A0B5H8I5	ARO:3001788	OXA-204	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001788
A0AB33ILF4	ARO:3002720	QnrB6	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002720
U3MPT2	ARO:3001513	OXA-325	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001513
A0A3G8LT49	ARO:3003556	SLB-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003556
A6H929	ARO:3000874	TEM-2	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000874
R4IWH1	ARO:3002162	FOX-10	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002162
A0A097J9H5	ARO:3002147	DHA-16	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002147
G9BBW8	ARO:3001373	TEM-182	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001373
Q9EX99	ARO:3002520	OCH-7	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002520
A0A4P7XPD4	ARO:3000789	mdsA	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000789
Q2I2J1	ARO:3001704	OXA-87	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001704
W8Q8D7	ARO:3001845	ACT-25	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001845
A0A9P0UXB8	ARO:3002464	LEN-16	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002464
Q2YHY8	ARO:3002426	OKP-A-9	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002426
A0AAD0Y256	ARO:3002410	OXY-4-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002410
Q3LUK7	ARO:3001123	SHV-69	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001123
A0A3R8XFQ7	ARO:3002276	VIM-6	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002276
A0A0A1IR40	ARO:3001137	SHV-83	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001137
Q8EIK2	ARO:3001812	OXA-54	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001812
Q2YHX7	ARO:3002443	OKP-B-10	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002443
A3F6P3	ARO:3002591	AAC_6_IB_Su	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002591
Q9R746	ARO:3000893	TEM-22	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000893
A0A0D5ZYE7	ARO:3002680	catB8	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002680
Q3LUK8	ARO:3001122	SHV-67	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001122
A0AB36BL56	ARO:3002868	dfrG	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3002868
D4QFM2	ARO:3001177	SHV-133	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001177
A0A0S1RXN4	ARO:3001612	OXA-51	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001612
B5L5W7	ARO:3002483	LRA-5	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002483
A0A5J6WXP6	ARO:3002801	QnrVC4	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002801
Q51006	ARO:3000812	mtrE	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000812
A0AB35NXF9	ARO:3002314	KPC-4	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002314
A0A0J1CXK5	ARO:3000553	adeR	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000553
Q1HBG6	ARO:3001628	OXA-93	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001628
D9IQH0	ARO:3001954	CTX-M-94	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001954
A7L8D8	ARO:3002040	CMY-29	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002040
Q51400	ARO:3001408	OXA-13	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001408
Q7X587	ARO:3001892	CTX-M-30	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001892
A0A0A8J940	ARO:3003182	NDM-13	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003182
B3LE88	ARO:3001937	CTX-M-76	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001937
L7N623	ARO:3000392	Erm(37)	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3000392
A0AAE9VSR8	ARO:3001399	OXA-4	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001399
Q09Q12	ARO:3001018	TEM-151	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001018
Q6UK84	ARO:3000990	TEM-128	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000990
A0A2T4PQB3	ARO:3002866	dfrD	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3002866
A0A009TDQ1	ARO:3001637	OXA-106	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001637
A3NUZ8	ARO:3002983	amrB	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3002983
F5ANL2	ARO:3002220	IMP-29	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002220
Q49HG5	ARO:3002338	GES-9	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002338
A0A9X8P318	ARO:3002336	GES-7	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002336
H9D2X0	ARO:3002764	QnrB49	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002764
A0A1P8SN36	ARO:3001051	TEM-191	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001051
Q84BS6	ARO:3000166	tet(B)	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000166
O88172	ARO:3000182	tet(Y)	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000182
A0AB35KSR0	ARO:3003071	mphF	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003071
A0A1V1FVI5	ARO:3002698	cmlB	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3002698
J7I6N3	ARO:3001195	SHV-156	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001195
G1FK69	ARO:3001048	TEM-188	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001048
Q8GPN1	ARO:3000844	TUS-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000844
A0A3S4N2H9	ARO:3000809	OpmD	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000809
A0AAJ6K4Q9	ARO:3002364	PER-2	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002364
Q93A77	ARO:3000951	TEM-84	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000951
K4NUK1	ARO:3002324	KPC-14	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002324
A5JSC3	ARO:3002039	CMY-28	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002039
A9LN39	ARO:3002927	vanR_in_vanL_cl	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3002927
M9T8M5	ARO:3002326	KPC-16	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002326
A8HDA6	ARO:3001633	OXA-79	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001633
A9J7N2	ARO:3002732	QnrB17	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002732
E2EKF8	ARO:3001662	OXA-164	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001662
B7U9E7	ARO:3002617	aadA17	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002617
B0ZTA3	ARO:3001930	CTX-M-69	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001930
